"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"2. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 123 158 156 232 140
"2. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 50 33 28 30 25
"2. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" 50 33 28 30 25
"2. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"2. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" 19762 20114 19565 19396 18272
"2. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" 19761 20114 19565 19344 18272
"2. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" 1 - - 52 -
"2. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" 1763 1995 2258 2505 2598
"2. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" 1687 1896 2156 2392 2529
"2. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" 76 99 102 113 69
"2. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 74 82 92 131 91
"2. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 37 41 50 81 39
"2. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" 37 41 42 50 52
"2. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 7 16 16 13 19
"2. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 2 4 6 1 5
"2. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" 5 12 10 12 14
"2. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 2 6 2 4 3
"2. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 2 2 - - -
"2. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" - 4 2 4 3
"2. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 1 1 - - 3
"2. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" - - - - 1
"2. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 1 1 - - 2
"2. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 1 1 1 - -
"2. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" - - 1 - -
"2. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 1 1 - - -
"2. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 2 - - 1 -
"2. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" - - - - -
"2. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 2 - - 1 -
"2. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" - - - - -
"2. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" - - - - -
"2. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" - - - - -
"2. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - - -
"2. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 11202 11458 11339 11404 10762
"2. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 11124 11364 11232 11261 10682
"2. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 78 94 107 143 80
"2. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 19 13 8 8 8
"2. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" 19 13 8 8 8
"2. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"2. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" 10013 10097 9804 9746 9032
"2. razred" "Moški" "7 let" "prviè vpisani v razred" 10013 10097 9804 9719 9032
"2. razred" "Moški" "7 let" "ponavljavci" - - - 27 -
"2. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" 1113 1278 1454 1562 1656
"2. razred" "Moški" "8 let" "prviè vpisani v razred" 1067 1219 1383 1492 1614
"2. razred" "Moški" "8 let" "ponavljavci" 46 59 71 70 42
"2. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 47 52 57 75 53
"2. razred" "Moški" "9 let" "prviè vpisani v razred" 22 29 30 41 26
"2. razred" "Moški" "9 let" "ponavljavci" 25 23 27 34 27
"2. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 7 11 13 9 9
"2. razred" "Moški" "10 let" "prviè vpisani v razred" 2 4 6 1 1
"2. razred" "Moški" "10 let" "ponavljavci" 5 7 7 8 8
"2. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 1 6 2 3 2
"2. razred" "Moški" "11 let" "prviè vpisani v razred" 1 2 - - -
"2. razred" "Moški" "11 let" "ponavljavci" - 4 2 3 2
"2. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" - 1 - - 2
"2. razred" "Moški" "12 let" "prviè vpisani v razred" - - - - 1
"2. razred" "Moški" "12 let" "ponavljavci" - 1 - - 1
"2. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 1 - 1 - -
"2. razred" "Moški" "13 let" "prviè vpisani v razred" - - 1 - -
"2. razred" "Moški" "13 let" "ponavljavci" 1 - - - -
"2. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 1 - - 1 -
"2. razred" "Moški" "14 let" "prviè vpisani v razred" - - - - -
"2. razred" "Moški" "14 let" "ponavljavci" 1 - - 1 -
"2. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Moški" "15 let" "prviè vpisani v razred" - - - - -
"2. razred" "Moški" "15 let" "ponavljavci" - - - - -
"2. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"2. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" - - - - -
"2. razred" "Moški" "16 let ali veè" "ponavljavci" - - - - -
